行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
850783.SI,激光设备,自动化设备,10,67.83,68.66,6.08,0.3
850784.SI,其他自动化设备,自动化设备,24,80.63,69.75,4.95,0.49
857411.SI,航天装备Ⅲ,航天装备Ⅱ,9,327.58,496.73,10.04,0.1
857421.SI,航空装备Ⅲ,航空装备Ⅱ,46,77.35,89.86,4.42,0.5
857431.SI,地面兵装Ⅲ,地面兵装Ⅱ,12,105.66,79.28,3.88,0.41
850935.SI,航海装备Ⅲ,航海装备Ⅱ,10,87.94,45.9,2.33,0.39
857451.SI,军工电子Ⅲ,军工电子Ⅱ,64,103.63,95.79,6.13,0.66
850702.SI,安防设备,计算机设备,24,26.59,22.19,3.11,3.14
850703.SI,其他计算机设备,计算机设备,60,57.44,51.48,4.46,0.73
852226.SI,IT服务Ⅲ,IT服务Ⅱ,119,85.89,85.62,4.84,0.57
851041.SI,垂直应用软件,软件开发,97,84.91,78.63,6.78,0.62
851042.SI,横向通用软件,软件开发,35,126.75,99.09,6.37,0.47
857641.SI,游戏Ⅲ,游戏Ⅱ,26,39.44,29.44,4.23,1.6
857651.SI,营销代理,广告营销,24,97.88,101.45,3.97,0.44
857661.SI,影视动漫制作,影视院线,15,122.16,40.12,3.76,0.56
857674.SI,门户网站,数字媒体,8,98.63,94.04,5.7,0.62
857691.SI,教育出版,出版,10,15.64,13.1,1.34,4.44
857692.SI,大众出版,出版,19,27.08,25.87,1.59,1.96
859951.SI,电视广播Ⅲ,电视广播Ⅱ,14,42.82,41.65,1.46,1.67
852213.SI,通信工程及服务,通信服务,19,165.9,254.51,3.68,0.19
852214.SI,通信应用增值服务,通信服务,17,106.18,52.28,7.03,0.38
851024.SI,通信网络设备及器件,通信设备,35,90.5,67.29,10.49,0.34
851025.SI,通信线缆及配套,通信设备,11,74.73,72.32,5.43,0.41
851026.SI,通信终端及配件,通信设备,28,46.46,45.59,5.61,1.4
851027.SI,其他通信设备,通信设备,11,113.74,87.26,5.35,0.44
859511.SI,动力煤,煤炭开采,18,12.64,15.16,1.96,5.84
859512.SI,焦煤,煤炭开采,12,14.2,34.72,0.96,4.15
859521.SI,焦炭Ⅲ,焦炭Ⅱ,7,0.0,0.0,0.0,0.4
859621.SI,油田服务,油服工程,7,25.74,23.71,2.36,1.85
859622.SI,油气及炼化工程,油服工程,6,23.53,26.31,1.19,2.02
859631.SI,炼油化工,炼化及贸易,10,14.16,15.6,1.25,3.72
859632.SI,油品石化贸易,炼化及贸易,6,19.71,26.37,1.96,6.32
859633.SI,其他石化,炼化及贸易,14,50.48,39.57,1.6,0.49
859711.SI,大气治理,环境治理,6,420.29,540.21,2.39,0.65
859712.SI,水务及水治理,环境治理,51,19.36,21.43,1.38,2.09
859713.SI,固废治理,环境治理,34,24.07,22.46,1.97,1.69
859714.SI,综合环境治理,环境治理,15,37.57,44.71,2.55,1.35
859721.SI,环保设备Ⅲ,环保设备Ⅱ,27,39.72,39.24,2.23,1.41
859811.SI,生活用纸,个护用品,8,38.6,32.53,2.38,1.52
859821.SI,化妆品制造及其他,化妆品,6,28.6,59.02,3.11,1.13
859822.SI,品牌化妆品,化妆品,8,26.4,28.84,3.4,2.04
